Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
323848,0000019F,false,Rx,0,8,00,00,7D,01,00,6A,88,4E,
324049,000001A1,false,Rx,0,6,00,05,88,26,00,00,00,00,
324292,00000424,false,Rx,0,8,11,40,02,10,3D,64,AA,3E,
324518,00000425,false,Rx,0,8,11,BB,44,9C,42,1A,CD,0C,
324671,000004AF,false,Rx,0,5,65,3B,4B,3A,40,00,00,00,
326096,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
326994,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
328962,00000157,false,Rx,0,7,D5,46,09,C4,00,00,00,00,
333337,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
333525,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
333777,0000019F,false,Rx,0,8,00,00,7D,06,00,6A,88,4E,
333988,000001A1,false,Rx,0,6,00,05,88,26,00,00,00,00,
335016,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
336994,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
338319,00000157,false,Rx,0,7,D5,96,09,C4,00,00,00,00,
338545,00000423,false,Rx,0,8,07,1E,FF,FD,B2,A0,B2,C1,
343344,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
343548,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
343798,0000019F,false,Rx,0,8,00,00,7D,0B,00,6A,88,4E,
344015,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
344242,000001A1,false,Rx,0,6,00,05,88,26,00,00,00,00,
346954,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
349126,00000157,false,Rx,0,7,D5,E6,09,C4,00,00,00,00,
353302,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
353500,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
353749,0000019F,false,Rx,0,8,00,00,7D,00,00,6A,88,4E,
353971,000001A1,false,Rx,0,6,00,05,88,26,00,00,00,00,
354119,00000435,false,Rx,0,4,FF,FF,1E,00,00,00,00,00,
355807,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
356959,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
358232,00000157,false,Rx,0,7,D5,36,09,C4,00,00,00,00,
363359,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
363654,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
363877,0000019F,false,Rx,0,8,00,00,7D,05,00,6A,88,4E,
364081,000001A1,false,Rx,0,6,00,05,88,26,00,00,00,00,
364331,00000426,false,Rx,0,8,00,10,02,01,04,16,00,40,
364789,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
367293,000004F7,false,Rx,0,8,00,1F,08,00,B0,48,06,F0,
367299,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
369292,00000157,false,Rx,0,7,D5,86,09,C4,00,00,00,00,
372063,00000428,false,Rx,0,8,00,00,00,7F,00,00,00,00,
372205,0000042F,false,Rx,0,2,00,20,00,00,00,00,00,00,
